Plant,Distance,beta,SE,p-value,N,estimable,message
Neckarwestheim 2,<= 50,,,,23,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Neckarwestheim 2,<= 75,,,,23,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 1,<= 10,,,,10,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 1,<= 25,,,,10,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 1,<= 50,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 1,<= 75,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 2,<= 10,,,,10,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 2,<= 25,,,,10,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 2,<= 50,,,,10,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Philippsburg 2,<= 75,,,,10,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Grohnde,<= 10,,,,3,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Grohnde,<= 25,0.5331666666666592,0.0451335466920422,3.34052906775567e-32,12,True,
Grohnde,<= 50,1.8811666666666662,1.3384131519732383,0.15986665897289365,22,True,
Grohnde,<= 75,1.8811666666666662,1.3384131519732383,0.15986665897289365,22,True,
Emsland,<= 10,,,,17,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Emsland,<= 25,,,,17,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Emsland,<= 50,,,,17,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Emsland,<= 75,,,,17,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Brokdorf,<= 10,,,,7,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Brokdorf,<= 25,,,,7,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Brokdorf,<= 50,,,,7,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Brokdorf,<= 75,,,,7,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Grafenrheinfeld,<= 10,,,,40,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Grafenrheinfeld,<= 25,1.010630341880351,3.6105528772750715,0.7795464516168655,55,True,
Grafenrheinfeld,<= 50,-0.6466241224053759,2.3015661954305315,0.7787490499679838,86,True,
Grafenrheinfeld,<= 75,-0.6466241224053759,2.3015661954305315,0.7787490499679838,86,True,
Gundremmingen B,<= 10,,,,8,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen B,<= 25,,,,8,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen B,<= 50,,,,8,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen B,<= 75,,,,8,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen C,<= 10,,,,6,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen C,<= 25,,,,6,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen C,<= 50,,,,6,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
Gundremmingen C,<= 75,,,,6,False,2x2 DiD cannot be estimated because one required cell contains zero observations.
