"GCODE";"Ost";"Nord";"AWGN ID";"Messstelle";"Gewässer";"Parameter";"Jahr";"Datum";"Vorzeichen";"Messwert";"Bestimmungsgrenze";"Dimension";"Medium";"Probeart"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"02.04.2007";"-";"11,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"16.04.2007";"-";"16,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"30.04.2007";"-";"19,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"14.05.2007";"-";"18";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"29.05.2007";"-";"19,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"11.06.2007";"-";"21,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"25.06.2007";"-";"20,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"09.07.2007";"-";"17,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"23.07.2007";"-";"21,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"06.08.2007";"-";"21,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"20.08.2007";"-";"20,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"03.09.2007";"-";"19,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"17.09.2007";"-";"19,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"01.10.2007";"-";"17,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"15.10.2007";"-";"16,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"30.10.2007";"-";"13,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"12.11.2007";"-";"10,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"26.11.2007";"-";"8,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2007";"10.12.2007";"-";"8,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"07.01.2008";"-";"7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"21.01.2008";"-";"8,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"04.02.2008";"-";"6,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"18.02.2008";"-";"6,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"03.03.2008";"-";"10,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"17.03.2008";"-";"9,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"31.03.2008";"-";"10";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"14.04.2008";"-";"10,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"28.04.2008";"-";"13";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"13.05.2008";"-";"17,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"26.05.2008";"-";"17,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"09.06.2008";"-";"18,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"23.06.2008";"-";"21,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"08.07.2008";"-";"21,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"21.07.2008";"-";"19,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"04.08.2008";"-";"24";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"18.08.2008";"-";"21,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"01.09.2008";"-";"22,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"15.09.2008";"-";"18,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"29.09.2008";"-";"16,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"13.10.2008";"-";"16,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"27.10.2008";"-";"14,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"10.11.2008";"-";"13,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"24.11.2008";"-";"9,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"09.12.2008";"-";"8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2008";"22.12.2008";"-";"7,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"05.01.2009";"-";"4,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"22.01.2009";"-";"5,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"02.02.2009";"-";"5,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"16.02.2009";"-";"5,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"02.03.2009";"-";"8,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"16.03.2009";"-";"8,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"30.03.2009";"-";"8,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"15.04.2009";"-";"14,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"27.04.2009";"-";"15,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"11.05.2009";"-";"17,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"25.05.2009";"-";"20,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"08.06.2009";"-";"19";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"22.06.2009";"-";"20,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"07.07.2009";"-";"22,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"20.07.2009";"-";"19,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"03.08.2009";"-";"22,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"17.08.2009";"-";"23,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"31.08.2009";"-";"24,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"14.09.2009";"-";"19,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"28.09.2009";"-";"20,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"12.10.2009";"-";"17,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"26.10.2009";"-";"14,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"09.11.2009";"-";"12,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"23.11.2009";"-";"11,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"07.12.2009";"-";"10,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2009";"21.12.2009";"-";"4,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"04.01.2010";"-";"5,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"18.01.2010";"-";"6,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"01.02.2010";"-";"4,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"15.02.2010";"-";"4,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"01.03.2010";"-";"7,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"15.03.2010";"-";"6,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"29.03.2010";"-";"11";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"12.04.2010";"-";"11,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"26.04.2010";"-";"16,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"10.05.2010";"-";"14,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"25.05.2010";"-";"18,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"07.06.2010";"-";"18,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"21.06.2010";"-";"16,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"05.07.2010";"-";"24,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"19.07.2010";"-";"25,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"02.08.2010";"-";"21,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"16.08.2010";"-";"20,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"30.08.2010";"-";"19,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"13.09.2010";"-";"19";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"27.09.2010";"-";"17,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"11.10.2010";"-";"17,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"25.10.2010";"-";"12,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"08.11.2010";"-";"13,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"22.11.2010";"-";"10";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"06.12.2010";"-";"7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2010";"20.12.2010";"-";"5,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2011";"03.01.2011";"-";"5,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2011";"17.01.2011";"-";"7,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2011";"31.01.2011";"-";"4,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2011";"14.02.2011";"-";"8,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2011";"28.02.2011";"-";"8,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2011";"14.03.2011";"-";"11,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
